acq_utc,mode,product_id,platformSerialIdentifier,orbitDirection,swathIdentifier,polarisationChannels,polarisationMode,delta_az_m,delta_az_source,slant_range_res_m,chirp_bw_MHz_inferita,sensorResolution,incidenceAngle,minimumIncidenceAngle,maximumIncidenceAngle,slant_km,beta_s,T_dwell_s,T_base_s,dphi_8s_deg,dphi_10s_deg,dphi_12s_deg,eoweb_span_s,scene_azimuth_km,heading_deg,range_dir_deg,offshore_extent_km,onshore_extent_km,footprint_long_km,footprint_short_km,sea_area_km2,pier_in,wr17m_in,wr26m_in,centre_lat,centre_lon,processingLevel,dopplerFrequency,Quality,Availability,Revision,orbitNumber,RelOrbit,OrbitCycle,OrbitPhase,OrbitsRepeatCycle,DatatakeFileNumber,UniqueDataTakeID,AntennaReceiveConfiguration,IOP,GOP,acquisitionStation,acquisitionDate,archivingDate,startTime,stopTime,status,processorName,acquisitionType,antennaLookDirection,CreationSite,eoweb_id,polygon
2023-11-06 22:51:53,ST,XXXXB00000000657621626817,TDX-1,ASCENDING,spot_015,HH,S,0.24,nominale del modo (NON sensorResolution),1.1,161,1.1,23.2510922695327,22.7715714404122,23.7185655406795,556.5,73.2,4.742,3.083,139,111,92,0.391,2.75,349.0,79.0,4.13,-4.01,7.81,2.78,11.5,True,True,False,36.18275,-75.74863,L0,0.0,AUTO_APPROVED,EXISTING,OPER_TDX_01,74192,74,545,1,167,10844,,SRA,24578,14396,D20,2023-11-06T22:51:53.910Z,2023-11-07T10:23:05.062Z,2023-11-06T22:51:53.715Z,2023-11-06T22:51:54.106Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000657621626817/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.1771381042471,-75.7029556092059), (36.2016981437761,-75.70888356799787), (36.1883708304356,-75.79432798391792), (36.163812367479,-75.78836939006288), (36.1771381042471,-75.7029556092059)"
2008-05-13 23:07:21,HS,XXXXB00000000168783763747,TSX-1,ASCENDING,spot_091,"HH, VV",D,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,52.5138977041115,52.3897699987793,52.6368401963129,798.0,105.0,1.484,0.964,43,35,29,1.117,7.85,351.5,81.5,3.18,-2.96,7.87,4.67,14.9,True,False,False,36.18334,-75.74829,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,5069,59,31,1,167,5935,36029,SRA,24578,8304,NSG,2008-05-13T23:07:22.409Z,2008-05-14T14:27:16.675Z,2008-05-13T23:07:21.850Z,2008-05-13T23:07:22.967Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000168783763747/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.1514283557863,-75.71612933820592), (36.2214259891364,-75.72900814142952), (36.2152487659959,-75.78047134163529), (36.1452480554021,-75.76754537545878), (36.1514283557863,-75.71612933820592)"
2009-08-29 23:07:31,HS,XXXXB00000000208010608770,TSX-1,ASCENDING,spot_091,VV,S,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,52.5980221700705,52.4177541098305,52.7767438677638,799.2,105.2,1.486,0.966,43,35,29,0.776,5.46,351.5,81.5,5.85,-1.91,6.8,5.47,32.0,True,True,False,36.18892,-75.72875,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,12250,59,74,1,167,5155,75358,SRA,24578,8192,NSG,2009-08-29T23:07:32.137Z,2009-08-30T07:24:13.261Z,2009-08-29T23:07:31.749Z,2009-08-29T23:07:32.525Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000208010608770/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.1690806397631,-75.68679918860761), (36.2177565161023,-75.69573745888368), (36.2087660506183,-75.7707169787887), (36.1600870369184,-75.76173090981553), (36.1690806397631,-75.68679918860761)"
2010-04-28 10:57:27,HS,XXXXB00000000230443169147,TSX-1,DESCENDING,spot_097,VV,S,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,54.1057330711151,53.9340710415216,54.2759734311729,822.9,108.3,1.53,0.995,45,36,30,0.754,5.3,188.3,278.3,4.52,-4.01,6.83,5.31,24.0,True,True,False,36.18683,-75.74811,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,15916,51,96,1,167,5555,,SRA,24578,8192,D20,2010-04-28T10:57:27.744Z,2010-07-13T17:07:32.011Z,2010-04-28T10:57:27.367Z,2010-04-28T10:57:28.121Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443169147/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.2148914188673,-75.78152626515651), (36.1676007684555,-75.79000725106829), (36.1587724557535,-75.7147161839033), (36.2060665378161,-75.70618856132569), (36.2148914188673,-75.78152626515651)"
2010-05-09 10:57:28,HS,XXXXB00000000230443201870,TSX-1,DESCENDING,spot_097,HH,S,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,54.1017995680479,53.9301155943501,54.2720615823875,822.8,108.3,1.53,0.994,45,36,30,0.773,5.44,188.3,278.3,4.42,-4.17,6.83,5.44,24.1,True,True,False,36.18772,-75.75006,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,16083,51,97,1,167,6217,,SRA,24578,8204,D20,2010-05-09T10:57:28.632Z,2010-07-13T17:09:00.978Z,2010-05-09T10:57:28.245Z,2010-05-09T10:57:29.018Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443201870/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.2163609074627,-75.78337278983258), (36.1679122324545,-75.79206233330211), (36.1590827860807,-75.71676738032392), (36.2075349370585,-75.70803005972402), (36.2163609074627,-75.78337278983258)"
2010-05-14 11:06:01,HS,XXXXB00000000230443215909,TSX-1,DESCENDING,spot_059,VV,S,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,42.602162655897,42.3428977131085,42.8584192464689,678.6,89.3,1.262,0.82,37,30,25,0.753,5.29,189.5,279.5,4.77,-4.13,7.21,5.33,25.4,True,True,False,36.18679,-75.74739,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,16159,127,97,1,167,6549,,SRA,24578,8192,D20,2010-05-14T11:06:01.512Z,2010-07-13T15:18:59.887Z,2010-05-14T11:06:01.136Z,2010-05-14T11:06:01.889Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443215909/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.2157782399662,-75.7820902891392), (36.1684863684219,-75.79188673571298), (36.1577927910442,-75.71270643583358), (36.2050856616679,-75.70286042901671), (36.2157782399662,-75.7820902891392)"
2010-05-15 22:59:00,HS,XXXXB00000000230443219592,TSX-1,ASCENDING,spot_053,HH,S,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,40.3433116984456,40.0405287342635,40.6420132322392,658.1,86.6,1.224,0.795,36,29,24,0.757,5.32,350.3,80.3,4.66,-4.11,7.95,5.36,25.0,True,True,False,36.1864,-75.74767,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,16182,150,97,1,167,6632,,SRA,24578,8204,D20,2010-05-15T22:59:00.721Z,2010-07-13T15:17:01.512Z,2010-05-15T22:59:00.342Z,2010-05-15T22:59:01.099Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443219592/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.168653223497,-75.69902005293869), (36.2161819167036,-75.70908044699507), (36.2041498548436,-75.79635269372079), (36.1566205415555,-75.78623723825882), (36.168653223497,-75.69902005293869)"
2023-10-08 11:07:28,HS,XXXXB00000000655038330281,TSX-1,DESCENDING,spot_058,VV,S,1.1,nominale del modo (NON sensorResolution),1.1,161,1.1,42.3828005161697,42.1193466282978,42.6431501933315,676.5,89.0,1.258,0.818,37,29,25,0.741,5.21,189.6,279.6,7.12,-1.7,7.17,5.24,37.3,True,False,False,36.1744,-75.71344,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,90474,127,542,1,167,8774,,SRA,24578,8192,D20,2023-10-08T11:07:28.493Z,2023-10-09T10:22:56.211Z,2023-10-08T11:07:28.122Z,2023-10-08T11:07:28.863Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000655038330281/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.2029816838137,-75.74801313725152), (36.1564952720069,-75.75766664586149), (36.1458275176909,-75.67889094225609), (36.1923148621101,-75.66918896829242), (36.2029816838137,-75.74801313725152)"
2008-03-20 22:50:13,SL,XXXXB00000000164719460294,TSX-1,ASCENDING,spot_015,HH,S,2.0,nominale del modo (NON sensorResolution),1.7,104,1.7,23.2497729483376,22.5819150244412,23.8932188305492,556.5,73.2,0.569,0.37,17,13,11,1.447,10.18,349.0,79.0,6.98,-7.04,12.59,10.29,71.8,True,True,False,36.16676,-75.74252,L0,0.0,AUTO_APPROVED,EXISTING,OPER_01_01,4249,74,26,1,167,3512,25508,SRA,24578,6156,NSG,2008-03-20T22:50:14.051Z,2008-03-27T06:23:00.575Z,2008-03-20T22:50:13.327Z,2008-03-20T22:50:14.774Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-Spotlight:/dims_nz_pl_dfd_XXXXB00000000164719460294/dims_op_pl_dfd_//TSX-1.SAR.L0,"(36.1320905422246,-75.66276557699882), (36.2229021656015,-75.68463969271738), (36.20142959933,-75.82238917311139), (36.110636932019,-75.80027162357487), (36.1320905422246,-75.66276557699882)"
2017-05-20 11:06:39,SL,XXXXB00000000451410323401,TSX-1,DESCENDING,spot_058,HH,S,2.0,nominale del modo (NON sensorResolution),1.7,104,1.7,42.426717986679,42.0137717640465,42.8323980720158,676.9,89.1,0.692,0.45,20,16,13,1.491,10.48,189.6,279.6,11.14,-3.95,11.37,10.55,117.5,True,True,False,36.2003,-75.71462,L0,0.0,OPERATOR_APPROVED,EXISTING,OPER_01_01,55070,127,330,1,167,3641,,SRA,24578,6204,D26,2017-05-20T11:06:39.846Z,2017-12-08T08:32:17.583Z,2017-05-20T11:06:39.100Z,2017-05-20T11:06:40.591Z,ACQUIRED,TMSP,NOMINAL,RIGHT,TS-X PGS NZ,TSX-1.SAR.L1b-Spotlight:/dims_nz_pl_dfd_XXXXB00000000451410323401/dims_nz_pl_dfd_//TSX-1.SAR.L0,"(36.255533968977,-75.76735176774702), (36.1619398573026,-75.78672295546562), (36.1450594631015,-75.66198563007327), (36.2386529308736,-75.64243230670712), (36.255533968977,-75.76735176774702)"
